# Generated by Autoplot on Sat Jun 20 07:28:39 CDT 2026
x, y, z
100.0, 0.95517, 9.0
101.0, 0.34816, 0.0
102.0, 0.66340, 1.0
103.0, 0.99293, 8.0
104.0, -1.1966528929236728, 9.0
105.0, 0.93145, 2.0
106.0, 0.88548, 6.0
107.0, 0.37736, 1.0
108.0, -0.9872719516199102, 3.0
109.0, -0.9128652798260922, 9.0
110.0, -1.7878295405362783, 3.0
111.0, -0.3337242440786502, 4.0
112.0, 1.4549, 4.0
113.0, -1.0223103145068564, 0.0
114.0, 1.0910, 6.0
115.0, -0.31311175913444295, 7.0
116.0, -0.8088831610907807, 2.0
117.0, -0.9767811941837417, 7.0
118.0, -0.8959495510645021, 9.0
119.0, -0.11688801192874412, 1.0
120.0, -0.5073754605912367, 9.0
121.0, -1.099989973468008, 8.0
122.0, -0.08336594712934568, 2.0
123.0, 0.86309, 8.0
124.0, -0.11394792313838517, 0.0
125.0, -1.2084185200301416, 8.0
126.0, 0.77261, 0.0
127.0, -1.8428320781937613, 3.0
128.0, -0.27017372962220376, 8.0
129.0, 0.66502, 6.0
130.0, -1.154946411397318, 4.0
131.0, -0.4740971115355659, 0.0
132.0, -1.6840106337859158, 8.0
133.0, -0.5436804394339876, 0.0
134.0, 1.5189, 6.0
135.0, -1.0376334213682945, 3.0
136.0, -0.09710399509139403, 7.0
137.0, 0.95454, 7.0
138.0, 1.6294, 5.0
139.0, 1.7734, 9.0
140.0, -0.15054315586107725, 3.0
141.0, 0.17194, 5.0
142.0, -1.0064600642988193, 8.0
143.0, 1.3966, 9.0
144.0, -1.026022476326168, 4.0
145.0, -0.4413701561225364, 5.0
146.0, -0.718379477672858, 3.0
147.0, 0.14559, 4.0
148.0, -0.02936309186401339, 2.0
149.0, 0.67013, 3.0
150.0, -0.8187426689622359, 7.0
151.0, 0.47743, 5.0
152.0, -0.62469603600387, 8.0
153.0, 1.0517, 2.0
154.0, -2.0892362077815068, 8.0
155.0, -0.7656344089656963, 0.0
156.0, 0.99905, 2.0
157.0, 0.16967, 5.0
158.0, -0.27723570924305807, 5.0
159.0, -1.3636199098733386, 5.0
160.0, -0.6396173358151622, 3.0
161.0, -0.08938805676745082, 7.0
162.0, -0.6023438486132094, 4.0
163.0, 0.65626, 1.0
164.0, 0.60150, 8.0
165.0, -0.5227967689860552, 6.0
166.0, -0.4484165305005901, 8.0
167.0, -0.0912879810462939, 9.0
168.0, -0.09102325236358905, 8.0
169.0, -2.496912016959969, 2.0
170.0, 1.7447, 7.0
171.0, 1.3194, 9.0
172.0, -2.0571843763442614, 5.0
173.0, -0.3618960026907618, 8.0
174.0, -1.852463299837152, 6.0
175.0, -1.563855471704292, 7.0
176.0, 1.3474, 4.0
177.0, -1.5785213620080671, 9.0
178.0, 0.33745, 8.0
179.0, -0.5663553636294313, 9.0
180.0, -0.09514700206900747, 6.0
181.0, -2.259984678619657, 6.0
182.0, 0.42262, 7.0
183.0, -0.2671613060833609, 3.0
184.0, -0.9273914480674884, 5.0
185.0, -0.8337271063699752, 0.0
186.0, 2.0147, 5.0
187.0, 0.58653, 6.0
188.0, 0.86465, 2.0
189.0, 0.46676, 4.0
190.0, -0.846840917575888, 5.0
191.0, 0.021273, 7.0
192.0, 0.010311, 0.0
193.0, -0.5631862518019918, 9.0
194.0, -0.3564160818741139, 1.0
195.0, 0.94982, 9.0
196.0, -0.09432719675878164, 3.0
197.0, 0.052149, 6.0
198.0, -0.6711927941169448, 4.0
199.0, -1.8825632369685563, 7.0
200.0, 1.2365, 8.0
